"Time","variable","CoralCover","Scenario"
2042,"1.5",31.463518812046,"SSP2_4.5"
2043,"1.5",31.6837634437304,"SSP2_4.5"
2044,"1.5",31.9055497878365,"SSP2_4.5"
2045,"1.5",32.1288886363513,"SSP2_4.5"
2046,"1.5",32.3537908568058,"SSP2_4.5"
2047,"1.5",32.5802673928034,"SSP2_4.5"
2048,"1.5",32.8083292645531,"SSP2_4.5"
2049,"1.5",33.0379875694049,"SSP2_4.5"
2050,"1.5",33.2692534823908,"SSP2_4.5"
2051,"1.5",33.5021382567675,"SSP2_4.5"
2052,"1.5",33.7366532245649,"SSP2_4.5"
2053,"1.5",33.9728097971368,"SSP2_4.5"
